place_id,user_ratings_total,rating
ChIJ95HY4wIMZ0gRiRs0B-7MRXg,952,4.4
ChIJr8WnbR0MZ0gRHSDNOuGgS_I,202,4
ChIJh-0ZMdYPZ0gREUjmihRi8fY,29,4
ChIJ6QROuwsPZ0gR8sjzAeJy1a0,79,4.8
ChIJ-Q4s2G8PZ0gRvHFuWPVHsW4,27,3.1
ChIJ__98xL0OZ0gR_rfX8jtohoY,241,4.8
ChIJ4d-vFfYLZ0gRjb7Ul4ai2d4,655,4.6
ChIJCZRAEJ4OZ0gRSNLmgQhXx7Y,1058,4.5
ChIJc6-5k3IMZ0gRmJV9fsoID-g,751,4.5
ChIJb0P3660NZ0gRGV2Kr8yXrgo,38,4.8
ChIJA-Suj0kLZ0gRIprLBQflDp8,1702,4.3
ChIJIe6KX7QNZ0gRoouh44HPn-Q,2006,4.5
ChIJ5SSKF28OZ0gRwFzxZdVgaHo,2303,4.2
ChIJG4VdAkEMZ0gR6Vqg2412-ik,223,3.6
ChIJ-eKzBxkMZ0gRNzTCSdb_tvE,955,4.4
ChIJu86yfW8OZ0gRrdvFj1OUe3c,970,4.6
ChIJ8V_hDZ8PZ0gRpL4bloj5bzk,4,3.8
