place_id,lng,lat
ChIJca5uuJMPZ0gR-R5sr64bxSg,-6.2420575,53.3625732
ChIJxcrNpZsOZ0gRW7zR3vTvNP0,-6.2576794,53.3424724
ChIJvy09L5YOZ0gRY6UO1WVPulo,-6.2477667,53.3357333
ChIJLUoAFQANZ0gRpvjcjpEbmpM,-6.2879861,53.3559195
ChIJIcAX75IPZ0gRLmgBljC5-UM,-6.2594827,53.3455629
ChIJG70Qt64PZ0gR0Vko6KUDrUA,-6.2673476,53.3473475
ChIJlWtmZwAPZ0gRDS3emKMUY3M,-6.2650779,53.3342243
ChIJSQIP1gwJZ0gR32pqyj0oYQ4,-6.245361,53.3049654
ChIJuXZqZ4YOZ0gR0wc87d26J8Q,-6.2590468,53.3522938
ChIJ2Q2Nv6cNZ0gRdiaHFtsiM9I,-6.2982696,53.3359727
ChIJwTwNT3oPZ0gRdrFrUdFdoQI,-6.2630507,53.3416157
ChIJ2XqHdSIMZ0gRrOZf-0xhCzg,-6.2747221,53.3338982
ChIJB-MDRQALZ0gRPYj6tVmPDzY,-6.2741325,53.311489
ChIJq6i5aJdOvjsRF18NsRjMjZ0,73.2765361,19.3529794
ChIJCaNNGngOZ0gRnprYPa46aEA,-6.2719239,53.3659313
ChIJOTOCr3_naC4RjsPdBEk13Oo,107.6033675,-6.8797865
ChIJ92ESGwAPZ0gRLegP4mkKCGM,-6.242355,53.3347038
ChIJS1QuGuINZ0gRIOIe9JW9HtM,-6.2717121,53.3504933
ChIJzTgyXuoOZ0gRQNBGY3SS4BU,-6.2346186,53.3373985
ChIJC76lL60NZ0gRNIEMUvK4_jc,-6.278884,53.3182566
ChIJvacR37APZ0gRZfvBb-Yd_U8,-6.2322897,53.3299034
ChIJj1D7KgAPZ0gRMxD8ajNYQ9U,-6.2631484,53.3468605
ChIJSx3WipwOZ0gRYe6PRsvgx6w,-6.2622305,53.3427959
ChIJfSsveNgPZ0gRAq2tzz0s1bw,-6.2548157,53.3249548
ChIJ_5gHe6AOZ0gRxgiDcDsU5BM,-6.2646255,53.3323181
ChIJRaPGZa4PZ0gR7u3Nd5vw1J4,-6.25804,53.3502871
ChIJKdWY0-UPZ0gRNkXE7j2QMjM,-6.258584,53.3408586
ChIJcyD28twNZ0gR2piqUcxSZIQ,-6.2651964,53.3243778
ChIJ4xKRBMQOZ0gRylN6SYgFmJo,-6.2302106,53.3289919
ChIJBxEF-EEPZ0gRZEBBUT5j0U8,-6.2627107,53.3581475
ChIJPw-eM00NZ0gRm3PITkPst44,-6.3093092,53.3274045
ChIJBZMyNEgNZ0gRPbA3GHw-93A,-6.2691069,53.3487558
ChIJMUVwdQAPZ0gRCAJF6mDC7fs,-6.2653781,53.3209824
ChIJya1pGgAJZ0gRQJ8AZkSZg0o,-6.2457246,53.2938462
ChIJmZuQhLEPZ0gRl60zjJQ4KMg,-6.2651973,53.3466607
ChIJB8EqJ_UNZ0gRGu4843-7luE,-6.2662974,53.3215729
ChIJO5VHJAANZ0gR_qPJ0Cgac9w,-6.2671741,53.3215862
ChIJCeE_DEANZ0gRbqH28FAL4o4,-6.3610257,53.3726379
ChIJRS5lnioPZ0gRdxp0s7NC8M8,-6.2009482,53.3874075
ChIJX2pkys0cdkgRA4YNe-vptw8,-0.0585237,51.519644
ChIJIWrkRLIPZ0gR401vf3mP7l8,-6.2224229,53.3726364
ChIJlT5xnp8NZ0gR_kcpcts7Xqw,-6.2537177,53.3245871
ChIJNQaucdgNZ0gRtr9vXyq2mHU,-6.2748887,53.3317402
ChIJTYWdzZ8OZ0gRL8BlfYBz16M,-6.2654228,53.3369217
ChIJv4mVO0MPZ0gRjWIiyb_KSsI,-6.2677898,53.356573
ChIJ4Zg6bZkPZ0gRzdl81Psucck,-6.2545857,53.3505995
ChIJBaApONoPZ0gRLqI_oyIMRcA,-6.2617594,53.3471023
ChIJRUxyw70OZ0gRTMxcc33igmE,-6.2456135,53.3337842
ChIJ0yfZ2I4OZ0gR7fNEJrUe0-0,-6.2511042,53.3509723
ChIJez4ajSQPZ0gR-nwV4LX3H2c,-6.2644992,53.3412579
ChIJuSpu8KkPZ0gRqcSWQCOQtO8,-6.242355,53.3347038
ChIJ0RpDFHgOZ0gR-lGN2bOKSls,-6.271425,53.3654214
ChIJJZY6EeIPZ0gR7Rib5mpzcCg,-6.264938,53.3349514
ChIJxz0noLQPZ0gR6-ghK9TBvSU,-6.2646925,53.3412866
ChIJCcYUHSEPZ0gR3H4hxqGpSqI,-6.2653658,53.3407476
ChIJpZYZ4F0OZ0gR2nESzri48io,-6.2424756,53.3627098
ChIJ75rI3r0OZ0gRCtVD-9V4Gv8,-6.2449909,53.3337295
ChIJl85wlJcNZ0gRYmuXi1f2O_0,-6.3163412,53.376641
ChIJw4tuSYMOZ0gRIyu4c0oHjX4,-6.262889,53.3456928
ChIJudnh0yENZ0gRTI7TYY9BrgQ,-6.3202973,53.3395351
ChIJD94kql8OZ0gRHyBWkaMj78k,-6.240211,53.359726
ChIJJ_GChgsPZ0gRAYaghnn0PwY,-6.2648674,53.3317201
ChIJwbH_l6kJZ0gRCef5zCHTOoI,-6.1805784,53.3017331
ChIJ4e3T_YwOZ0gRG847Xnaiap0,-6.244476,53.3491782
ChIJBSB3dKAOZ0gR5PXzPi7iHxg,-6.2652194,53.3328944
ChIJr6h723QPZ0gRSjavWixgenA,-6.2309553,53.3444615
ChIJh7aqsocOZ0gRKTqC15csf3Y,-6.2587027,53.3536587
ChIJw1UZz6UOZ0gRcRGLLnFeajk,-6.2557205,53.3262422
